web_scraper_order,web_scraper_start_url,container_links,marque_modele,annee,prix,kilometrage,type_boite_de_vitesse,region_de_vente
"1786365986-40,""https://www.gaaraas.com/fr/users/dakar-auto?page=11"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-205-dakar-dakar-2262"",""Peugeot 205"",""2000"",""CFA 1 500 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786365988-41,""https://www.gaaraas.com/fr/users/dakar-auto?page=11"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-407-dakar-dakar-4171"",""Peugeot 407"",""2007"",""CFA 2 000 000"",""110 000 km"",""Manuelle"",""Dakar"""
"1786365991-42,""https://www.gaaraas.com/fr/users/dakar-auto?page=11"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-807-dakar-dakar-1587"",""Peugeot 807"",""2010"",""CFA 4 800 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786365993-43,""https://www.gaaraas.com/fr/users/dakar-auto?page=11"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-focus-dakar-dakar-3739"",""Ford Focus"",""2015"",""CFA 5 800 000"",""29 000 km"",""Automatique"",""Dakar"""
"1786365996-44,""https://www.gaaraas.com/fr/users/dakar-auto?page=11"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-santa-fe-dakar-dakar-2646"",""Hyundai Santa Fe"",""2005"",""CFA 3 500 000"",""300 000 km"",""Manuelle"",""Dakar"""
"1786365998-45,""https://www.gaaraas.com/fr/users/dakar-auto?page=11"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-rogue-dakar-dakar-790"",""Nissan Rogue"",""2010"",""CFA 8 500 000"",""84 500 km"",""Automatique"",""Dakar"""
"1786366004-46,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-mercedes-benz-190-dakar-dakar-3060"",""Mercedes‒Benz 190"",""2007"",""CFA 2 900 000"",""160 000 km"",""Automatique"",""Dakar"""
"1786366007-47,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-corolla-dakar-dakar-464"",""Toyota Corolla"",""2010"",""CFA 3 200 000"",""90 000 km"",""Manuelle"",""Dakar"""
"1786366010-48,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-focus-dakar-dakar-4417"",""Ford Focus"",""2007"",""CFA 2 700 000"",""100 000 km"",""Automatique"",""Dakar"""
"1786366012-49,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-juke-dakar-dakar-760"",""Nissan Juke"",""2011"",""CFA 5 500 000"",""157 000 km"",""Manuelle"",""Dakar"""
"1786366015-50,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-yaris-dakar-dakar-1662"",""Toyota Yaris"",""2007"",""CFA 2 700 000"",""180 000 km"",""Manuelle"",""Dakar"""
"1786366017-51,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-2701"",""Peugeot 308"",""2008"",""CFA 2 800 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366021-52,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c4-dakar-dakar-2082"",""Citroen C4"",""2007"",""CFA 2 200 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366023-53,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-508-dakar-dakar-1535"",""Peugeot 508"",""2012"",""CFA 4 700 000"",""102 220 km"",""Manuelle"",""Dakar"""
"1786366026-54,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-1237"",""Renault Megane"",""2009"",""CFA 3 300 000"",""233 200 km"",""Manuelle"",""Dakar"""
"1786366028-55,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-clio-dakar-dakar-4178"",""Renault Clio"",""2007"",""CFA 1 750 000"",""120 000 km"",""Manuelle"",""Dakar"""
"1786366031-56,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-chery-a113-dakar-dakar-510"",""Chery A113"",""2008"",""CFA 1 700 000"",""79 000 km"",""Manuelle"",""Dakar"""
"1786366033-57,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-4195"",""Renault Scenic"",""2008"",""CFA 2 000 000"",""130 000 km"",""Manuelle"",""Dakar"""
"1786366036-58,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-safrane-dakar-dakar-2118"",""Renault Safrane"",""2007"",""CFA 2 200 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366038-59,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-verso-dakar-dakar-3569"",""Toyota Verso"",""2007"",""CFA 2 500 000"",""313 000 km"",""Manuelle"",""Dakar"""
"1786366041-60,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-avensis-dakar-dakar-2882"",""Toyota Avensis"",""2006"",""CFA 1 600 000"",""186 000 km"",""Manuelle"",""Dakar"""
"1786366044-61,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-21-dakar-dakar-2800"",""Renault 21"",""2002"",""CFA 2 200 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366046-62,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-golf-dakar-dakar-1792"",""Volkswagen Golf"",""2005"",""CFA 2 200 000"",""180 000 km"",""Manuelle"",""Dakar"""
"1786366051-63,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-corolla-dakar-dakar-2445"",""Toyota Corolla"",""2007"",""CFA 4 300 000"",""235 000 km"",""Manuelle"",""Dakar"""
"1786366053-64,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-avensis-dakar-dakar-1664"",""Toyota Avensis"",""2008"",""CFA 2 500 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366056-65,""https://www.gaaraas.com/fr/users/dakar-auto?page=10"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-4138"",""Peugeot 308"",""2009"",""CFA 2 600 000"",""120 000 km"",""Manuelle"",""Dakar"""
"1786366062-66,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-corolla-dakar-dakar-887"",""Toyota Corolla"",""2010"",""CFA 3 500 000"",""88 997 km"",""Manuelle"",""Dakar"""
"1786366065-67,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-sonata-louga-dahra-4357"",""Hyundai Sonata"",""2013"",""CFA 5 200 000"",""92 000 km"",""Automatique"",""Dahra"""
"1786366067-68,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-skoda-octavia-dakar-dakar-1667"",""Skoda Octavia"",""2010"",""CFA 2 600 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366070-69,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-camry-dakar-dakar-1105"",""Toyota Camry"",""2010"",""CFA 4 500 000"",""110 000 km"",""Automatique"",""Dakar"""
"1786366073-70,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-chrysler-sebring-dakar-dakar-4135"",""Chrysler Sebring"",""2009"",""CFA 2 000 000"",""99 000 km"",""Automatique"",""Dakar"""
"1786366075-71,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-mercedes-benz-190-dakar-dakar-2109"",""Mercedes‒Benz 190"",""1989"",""CFA 1 900 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366078-72,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-548"",""Hyundai Tucson"",""2010"",""CFA 4 200 000"",""79 044 km"",""Manuelle"",""Dakar"""
"1786366081-73,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-406-dakar-dakar-1707"",""Peugeot 406"",""2006"",""CFA 2 500 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366084-74,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-sonata-dakar-dakar-3570"",""Hyundai Sonata"",""2006"",""CFA 2 000 000"",""140 000 km"",""Automatique"",""Dakar"""
"1786366086-75,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1931"",""Peugeot 307"",""2007"",""CFA 2 200 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366089-76,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-mazda-2-dakar-dakar-2780"",""Mazda 2"",""2008"",""CFA 1 100 000"",""140 000 km"",""Manuelle"",""Dakar"""
"1786366091-77,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-17-dakar-dakar-2505"",""Renault 17"",""2000"",""CFA 6 000 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366094-78,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-opel-astra-dakar-dakar-2069"",""Opel Astra"",""2009"",""CFA 1 500 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366096-79,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c4-dakar-dakar-2303"",""Citroen C4"",""2010"",""CFA 2 200 000"",""289 983 km"",""Manuelle"",""Dakar"""
"1786366099-80,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-1893"",""Citroen C3"",""2008"",""CFA 2 000 000"",""200 000 km"",""Manuelle"",""Dakar"""
"1786366102-81,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1148"",""Peugeot 307"",""2008"",""CFA 2 200 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366105-82,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-3008-dakar-dakar-1121"",""Peugeot 3008"",""Bleu"",""CFA 6 500 000"",""2011"",""Manuelle"",""Dakar"""
"1786366107-83,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-laguna-dakar-dakar-1325"",""Renault Laguna"",""2007"",""CFA 1 400 000"",""180 000 km"",""Manuelle"",""Dakar"""
"1786366112-84,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-dacia-logan-dakar-dakar-1602"",""Dacia Logan"",""2008"",""CFA 3 000 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366114-85,""https://www.gaaraas.com/fr/users/dakar-auto?page=9"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-clio-dakar-dakar-653"",""Renault Clio"",""2010"",""CFA 2 700 000"",""120 000 km"",""Manuelle"",""Dakar"""
"1786366120-86,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-accent-dakar-dakar-890"",""Hyundai Accent"",""Bleu"",""CFA 1 700 000"",""2007"",""Manuelle"",""Dakar"""
"1786366123-87,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-kangoo-dakar-dakar-1871"",""Renault Kangoo"",""2012"",""CFA 4 500 000"",""264 127 km"",""Manuelle"",""Dakar"""
"1786366126-88,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-mercedes-benz-190-dakar-dakar-2436"",""Mercedes‒Benz 190"",""2000"",""CFA 2 400 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366129-89,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-407-dakar-dakar-1580"",""Peugeot 407"",""2007"",""CFA 2 600 000"",""180 000 km"",""Manuelle"",""Dakar"""
"1786366132-90,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-2201"",""Renault Megane"",""2006"",""CFA 1 800 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366135-91,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-1795"",""Renault Scenic"",""2005"",""CFA 1 500 000"",""180 000 km"",""Manuelle"",""Dakar"""
"1786366139-92,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-versa-dakar-dakar-2119"",""Nissan Versa"",""2010"",""CFA 2 500 000"",""120 000 km"",""Automatique"",""Dakar"""
"1786366142-93,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-407-dakar-dakar-2304"",""Peugeot 407"",""2006"",""CFA 2 300 000"",""291 000 km"",""Manuelle"",""Dakar"""
"1786366146-94,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-nemo-dakar-dakar-1980"",""Citroen Nemo"",""2009"",""CFA 2 400 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366175-95,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-2518"",""Renault Scenic"",""2007"",""CFA 1 950 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366178-96,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-2218"",""Citroen C3"",""2006"",""CFA 1 900 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366181-97,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-508-dakar-dakar-2155"",""Peugeot 508"",""2011"",""CFA 5 500 000"",""179 000 km"",""Automatique"",""Dakar"""
"1786366187-98,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-endeavor-dakar-dakar-2497"",""Mitsubishi Endeavor"",""2012"",""CFA 4 300 000"",""100 000 km"",""Automatique"",""Dakar"""
"1786366193-99,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-elantra-dakar-dakar-2468"",""Hyundai Elantra"",""2013"",""CFA 5 800 000"",""21 000 km"",""Automatique"",""Dakar"""
"1786366198-100,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-413"",""Peugeot 307"",""2007"",""CFA 2 100 000"",""90 000 km"",""Manuelle"",""Dakar"""
"1786366203-101,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-4196"",""Ford Escape"",""2011"",""CFA 4 300 000"",""130 000 km"",""Automatique"",""Dakar"""
