web_scraper_order,web_scraper_start_url,container_links,marque_modele,annee,prix,kilometrage,type_boite_de_vitesse,region_de_vente
"1786366947-204,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-altima-dakar-dakar-3589"",""Nissan Altima"",""2012"",""CFA 3 000 000"",""130 000 km"",""Automatique"",""Dakar"""
"1786366955-205,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-skoda-fabia-dakar-dakar-611"",""Skoda Fabia"",""2007"",""CFA 1 800 000"",""220 000 km"",""Manuelle"",""Dakar"""
"1786366967-206,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-camry-dakar-dakar-463"",""Toyota Camry"",""2011"",""CFA 3 800 000"",""0 km"",""Automatique"",""Dakar"""
"1786366973-207,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-ssangyong-kyron-dakar-dakar-1184"",""SsangYong Kyron"",""2007"",""CFA 2 000 000"",""120 000 km"",""Automatique"",""Dakar"""
"1786366980-208,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-807-dakar-dakar-1879"",""Peugeot 807"",""2007"",""CFA 2 800 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366985-209,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2047"",""Peugeot 307"",""2007"",""CFA 2 200 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366991-210,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-sonata-dakar-dakar-2221"",""Hyundai Sonata"",""2011"",""CFA 3 500 000"",""66 000 km"",""Automatique"",""Dakar"""
"1786366996-211,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-154"",""Peugeot 307"",""2007"",""CFA 2 300 000"",""210 000 km"",""Manuelle"",""Dakar"""
"1786367001-212,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-3738"",""Ford Escape"",""2011"",""CFA 4 000 000"",""109 400 km"",""Manuelle"",""Dakar"""
"1786367007-213,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2632"",""Peugeot 307"",""2008"",""CFA 1 900 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786367014-214,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escort-dakar-dakar-644"",""Ford Escort"",""2007"",""CFA 2 700 000"",""174 000 km"",""Manuelle"",""Dakar"""
"1786367021-215,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-2451"",""Renault Scenic"",""2009"",""CFA 1 300 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786367027-216,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-prado-dakar-dakar-2902"",""Toyota Prado"",""2000"",""CFA 4 000 000"",""140 000 km"",""Manuelle"",""Dakar"""
"1786367033-217,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-l200-dakar-dakar-291"",""Mitsubishi L200"",""2012"",""CFA 11 900 000"",""116 000 km"",""Manuelle"",""Dakar"""
"1786367040-218,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-739"",""Hyundai Tucson"",""2006"",""CFA 3 000 000"",""164 231 km"",""Manuelle"",""Dakar"""
"1786367049-219,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2633"",""Peugeot 307"",""2007"",""CFA 2 500 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786367055-220,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-309-dakar-dakar-4162"",""Peugeot 309"",""2000"",""CFA 2 800 000"",""130 000 km"",""Manuelle"",""Dakar"""
"1786367062-221,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-l200-dakar-dakar-2431"",""Mitsubishi L200"",""2006"",""CFA 7 500 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786367072-222,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-skoda-octavia-dakar-dakar-2498"",""Skoda Octavia"",""2012"",""CFA 4 000 000"",""70 000 km"",""Manuelle"",""Dakar"""
"1786367085-223,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-edge-dakar-dakar-1102"",""Ford Edge"",""2011"",""CFA 9 800 000"",""80 000 km"",""Automatique"",""Dakar"""
"1786367094-224,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-3584"",""Peugeot 307"",""2004"",""CFA 2 700 000"",""140 000 km"",""Manuelle"",""Dakar"""
"1786367100-225,""https://www.gaaraas.com/fr/users/dakar-auto?page=2"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-rover-600-dakar-dakar-677"",""Rover 600"",""2002"",""CFA 1 800 000"",""128 000 km"",""Manuelle"",""Dakar"""
"1786367112-226,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-406-dakar-dakar-1343"",""Peugeot 406"",""2004"",""CFA 2 000 000"",""18 000 km"",""Manuelle"",""Dakar"""
"1786367119-227,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-auris-dakar-dakar-3321"",""Toyota Auris"",""2005"",""CFA 3 500 000"",""179 315 km"",""Manuelle"",""Dakar"""
"1786367129-228,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-chevrolet-camaro-dakar-dakar-325"",""Chevrolet Camaro"",""2012"",""CFA 4 000 000"",""220 000 km"",""Manuelle"",""Dakar"""
"1786367135-229,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-daewoo-matiz-dakar-dakar-672"",""Daewoo Matiz"",""2009"",""CFA 3 000 000"",""120 000 km"",""Manuelle"",""Dakar"""
"1786367143-230,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-1777"",""Peugeot 308"",""2009"",""CFA 2 300 000"",""311 368 km"",""Manuelle"",""Dakar"""
"1786367152-231,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-taurus-dakar-dakar-3404"",""Ford Taurus"",""2006"",""CFA 3 800 000"",""200 000 km"",""Manuelle"",""Dakar"""
"1786367159-232,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-clio-dakar-dakar-418"",""Renault Clio"",""2004"",""CFA 1 900 000"",""120 000 km"",""Manuelle"",""Dakar"""
"1786367165-233,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-704"",""Ford Escape"",""2010"",""CFA 6 000 000"",""180 000 km"",""Automatique"",""Dakar"""
"1786367173-234,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-mazda-6-dakar-dakar-3224"",""Mazda 6"",""2010"",""CFA 4 000 000"",""182 000 km"",""Automatique"",""Dakar"""
"1786367182-235,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-1779"",""Renault Megane"",""2005"",""CFA 2 000 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786367190-236,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-1107"",""Renault Megane"",""2006"",""CFA 1 700 000"",""180 000 km"",""Manuelle"",""Dakar"""
"1786367196-237,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-610"",""Citroen C3"",""2008"",""CFA 2 300 000"",""128 000 km"",""Manuelle"",""Dakar"""
"1786367203-238,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-2219"",""Peugeot 308"",""2009"",""CFA 3 300 000"",""256 730 km"",""Manuelle"",""Dakar"""
"1786367210-239,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2612"",""Peugeot 307"",""2007"",""CFA 2 200 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786367216-240,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-862"",""Peugeot 307"",""2007"",""CFA 2 000 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786367224-241,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-camry-dakar-dakar-3067"",""Toyota Camry"",""2009"",""CFA 3 500 000"",""145 000 km"",""Automatique"",""Dakar"""
"1786367233-242,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-land-rover-range-rover-sport-dakar-dakar-4197"",""Land Rover Range Rover Sport"",""2008"",""CFA 6 000 000"",""130 000 km"",""Automatique"",""Dakar"""
"1786367241-243,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1326"",""Peugeot 307"",""2007"",""CFA 2 300 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786367247-244,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-getz-dakar-dakar-4133"",""Hyundai Getz"",""2008"",""CFA 1 800 000"",""98 000 km"",""Manuelle"",""Dakar"""
"1786367256-245,""https://www.gaaraas.com/fr/users/dakar-auto?page=1"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c4-dakar-dakar-2583"",""Citroen C4"",""2006"",""CFA 2 200 000"",""160 000 km"",""Manuelle"",""Dakar"""
